,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid
rp.session.titan-ext2.aleang9.017222.0019,1464.03040004,4402.27639985,32.7077000141,0.00189995765686,0.11260008812,5921.88599992,4370.2986002,0.337899923325,4.82179999352,1.42149996758,0.0851001739502,2.73029994965,exp3,4016,4016,1,1,1,250,250,0,rp.session.titan-ext2.aleang9.017222.0019
rp.session.titan-ext2.aleang9.017222.0020,1136.52180004,5304.80410004,32.4626998901,0.00170016288757,0.112999916077,6480.25150013,5180.1394999,0.373100042343,4.85000014305,1.38280010223,0.0936999320984,2.334400177,exp3,4016,4016,1,1,1,250,250,0,rp.session.titan-ext2.aleang9.017222.0020
rp.session.titan-ext2.aleang9.017222.0024,94.5889999866,4594.08150005,68.8176000118,0.00180006027222,0.121799945831,9417.90899992,4427.15939999,0.137199878693,4.82249999046,1.42070007324,0.090399980545,2.57299995422,exp3,4016,4016,1,1,1,250,250,0,rp.session.titan-ext2.aleang9.017222.0024
rp.session.titan-ext2.aleang9.017222.0028,1307.91620016,4402.60780001,35.0254998207,0.00220012664795,0.117500066757,10240.4375,4384.29169989,0.138299942017,4.91140007973,1.44860005379,0.0862998962402,2.58530020714,exp3,4016,4016,1,1,1,250,250,0,rp.session.titan-ext2.aleang9.017222.0028
rp.session.titan-ext2.aleang9.017222.0031,77.5846998692,4560.97020006,34.6284999847,0.00160002708435,0.113000154495,4955.90789986,4385.72300005,0.334599971771,4.95659971237,1.38479995728,0.0931000709534,2.58979988098,exp3,4016,4016,1,1,1,250,250,0,rp.session.titan-ext2.aleang9.017222.0031
rp.session.titan-ext7.aleang9.017224.0000,483.105499983,5502.69679999,35.2133998871,0.00180006027222,0.121700048447,6027.28789997,5429.03269982,0.151999950409,5.47220015526,1.37580013275,0.0897998809814,1.96010017395,exp3,4016,4016,1,1,1,250,250,0,rp.session.titan-ext7.aleang9.017224.0000
rp.session.titan-ext7.aleang9.017224.0003,115.558599949,4572.64919996,36.0032000542,0.00189995765686,0.121700048447,4730.31929994,4390.01539993,0.138099908829,5.42090010643,1.36730003357,0.0863997936249,1.77550005913,exp3,4016,4016,1,1,1,250,250,0,rp.session.titan-ext7.aleang9.017224.0003
rp.session.titan-ext7.aleang9.017224.0007,74.0190999508,4402.19179988,35.6301000118,0.00250005722046,0.115200042725,4517.2729001,4373.98619986,0.377700090408,4.79210019112,1.39419984818,0.0873999595642,2.52540016174,exp3,4016,4016,1,1,1,250,250,0,rp.session.titan-ext7.aleang9.017224.0007
rp.session.titan-ext7.aleang9.017224.0011,75.4353001118,4503.15059996,35.689800024,0.00230002403259,0.117899894714,4620.40820003,4404.78349996,0.386800050735,4.89170002937,1.40000009537,0.0875999927521,2.30099987984,exp3,4016,4016,1,1,1,250,250,0,rp.session.titan-ext7.aleang9.017224.0011
rp.session.titan-ext7.aleang9.017224.0012,400.244600058,4469.01320004,35.3601000309,0.00219988822937,0.121299982071,4910.56999993,4373.92330003,0.188600063324,4.88619995117,1.40070009232,0.090399980545,2.21090006828,exp3,4016,4016,1,1,1,250,250,0,rp.session.titan-ext7.aleang9.017224.0012
rp.session.titan-ext7.aleang9.017224.0019,9900.73110008,4402.41680002,35.8394999504,0.00189995765686,0.115800142288,14344.4986,4383.38139987,0.379100084305,4.94519996643,1.38089990616,0.0871999263763,1.99329996109,exp3,4016,4016,1,1,1,250,250,0,rp.session.titan-ext7.aleang9.017224.0019
rp.session.titan-ext2.aleang9.017222.0013,5736.12709999,6055.90199995,32.8401999474,0.00200009346008,0.112900018692,11833.7502,5960.73069978,0.272199869156,12.1395001411,4.57249999046,0.239000082016,5.89869999886,exp4,8016,8016,1,1,1,500,500,0,rp.session.titan-ext2.aleang9.017222.0013
rp.session.titan-ext2.aleang9.017222.0021,83.4890999794,5302.64549994,33.0260000229,0.00189995765686,0.115299940109,5425.05069995,5229.03990006,0.303999662399,9.11130046844,4.56859946251,0.235899925232,5.16549992561,exp4,8016,8016,1,1,1,500,500,0,rp.session.titan-ext2.aleang9.017222.0021
rp.session.titan-ext2.aleang9.017222.0023,584.361500025,4585.73200011,66.8497998714,0.00189995765686,0.113500118256,5242.77469993,4407.01020002,0.276799917221,10.6407001019,4.54420018196,0.260600090027,4.87399983406,exp4,8016,8016,1,1,1,500,500,0,rp.session.titan-ext2.aleang9.017222.0023
rp.session.titan-ext2.aleang9.017222.0027,161.833500147,4586.91709995,34.5200998783,0.00189995765686,0.115800142288,4789.454,4386.41609979,0.500999927521,11.3865001202,5.62010002136,0.237699985504,3.85710000992,exp4,8016,8016,1,1,1,500,500,0,rp.session.titan-ext2.aleang9.017222.0027
rp.session.titan-ext2.aleang9.017222.0030,77.7718999386,4551.3841002,34.8408999443,0.00189995765686,0.115400075912,4669.60930014,4426.04279995,0.551000356674,9.08489894867,4.53579998016,0.264299869537,4.66930007935,exp4,8016,8016,1,1,1,500,500,0,rp.session.titan-ext2.aleang9.017222.0030
rp.session.titan-ext7.aleang9.017223.0008,822.138999939,5199.0007,35.2488999367,0.00200009346008,0.121500015259,6062.64409995,5073.41560006,0.311399936676,13.1068999767,4.65240001678,0.248299837112,3.31060004234,exp4,8016,8016,1,1,1,500,500,0,rp.session.titan-ext7.aleang9.017223.0008
rp.session.titan-ext7.aleang9.017224.0002,676.012699842,5601.77020001,35.5127000809,0.00189995765686,0.113399982452,6319.25979996,5545.09579992,0.409999847412,20.3032000065,4.27769994736,0.245800018311,2.91670012474,exp4,8016,8016,1,1,1,500,500,0,rp.session.titan-ext7.aleang9.017224.0002
rp.session.titan-ext7.aleang9.017224.0014,92.7949998379,4502.0546,35.0754001141,0.00189995765686,0.121599912643,4635.56709981,4405.3361001,1.80339980125,9.61219978333,4.62679958344,0.239799976349,3.52639985085,exp4,8016,8016,1,1,1,500,500,0,rp.session.titan-ext7.aleang9.017224.0014
rp.session.titan-ext7.aleang9.017224.0020,1689.52640009,4502.41750002,81.7177000046,0.00180006027222,0.121999979019,6279.38249993,4401.64119983,0.414599895477,12.1494002342,4.26410007477,0.235199928284,3.17389988899,exp4,8016,8016,1,1,1,500,500,0,rp.session.titan-ext7.aleang9.017224.0020
rp.session.titan-ext7.aleang9.017224.0023,17645.7379,4571.27259994,78.6638000011,0.00180006027222,0.12030005455,22301.2061999,4409.52399993,0.47519993782,12.5796000957,4.57259988785,0.238999843597,4.25859999657,exp4,8016,8016,1,1,1,500,500,0,rp.session.titan-ext7.aleang9.017224.0023
