0 0.426787186244 0.0415857686078 0.345250562773 0.508323809714 3289
60 0.299622404028 0.0352014791421 0.230602477857 0.368642330199 3178
120 5.34610203888 0.194838277005 4.96416539017 5.7280386876 7624
180 3.11574525745 1.28174521426 0.578402587095 5.65308792781 123
240 7.69743710692 1.49565846677 4.69617882604 10.6986953878 53
300 3.35552777778 2.92794883394 -3.26795264905 9.97900820461 10
360 80.080761035 8.24941211864 63.6358585333 96.5256635367 73
420 -1 0 0 0 0
480 30.9366111111 11.9821370665 -2.33113469711 64.2043569193 5
540 7.85011574074 3.76804850423 -0.443303099545 16.143534581 12
600 -1 0 0 0 0
660 -1 0 0 0 0
720 95.4143518519 30.3727927562 32.0578163711 158.770887333 21
780 -1 0 0 0 0
840 -1 0 0 0 0
900 -1 0 0 0 0
960 -1 0 0 0 0
1020 -1 0 0 0 0
1080 -1 0 0 0 0
1140 -1 0 0 0 0
1200 -1 0 0 0 0
1260 -1 0 0 0 0
1320 -1 0 0 0 0
1380 -1 0 0 0 0
1440 81.6499537037 16.5345538002 39.1465300283 124.153377379 6
